customer_id,run_id,num_baristas,arrival_time,service_start,service_end,waiting_time,service_time,system_time
1,0,3,0.2716,0.2716,2.8412,0.0,2.5696,2.5696
3,0,3,4.7539,4.7539,5.6168,0.0,0.8628,0.8628
4,0,3,7.1098,7.1098,10.4662,0.0,3.3564,3.3564
2,0,3,3.893,3.893,10.8258,0.0,6.9328,6.9328
6,0,3,11.8279,11.8279,13.2204,0.0,1.3925,1.3925
7,0,3,13.704,13.704,15.0783,0.0,1.3744,1.3744
5,0,3,10.0651,10.0651,16.1671,0.0,6.102,6.102
8,0,3,14.7624,14.7624,16.7132,0.0,1.9507,1.9507
10,0,3,20.5991,20.5991,22.7125,0.0,2.1134,2.1134
9,0,3,17.5154,17.5154,22.8657,0.0,5.3504,5.3504
11,0,3,23.3364,23.3364,23.7652,0.0,0.4288,0.4288
13,0,3,31.0179,31.0179,32.7625,0.0,1.7446,1.7446
12,0,3,28.5255,28.5255,34.3669,0.0,5.8414,5.8414
15,0,3,41.8279,41.8279,43.2837,0.0,1.4558,1.4558
16,0,3,43.421,43.421,45.8948,0.0,2.4738,2.4738
14,0,3,40.4184,40.4184,48.8741,0.0,8.4557,8.4557
17,0,3,54.2922,54.2922,54.6858,0.0,0.3936,0.3936
18,0,3,60.0947,60.0947,60.7036,0.0,0.6088,0.6088
19,0,3,60.7247,60.7247,61.2949,0.0,0.5702,0.5702
20,0,3,62.0073,62.0073,62.3111,0.0,0.3038,0.3038
21,0,3,63.1952,63.1952,67.7799,0.0,4.5847,4.5847
24,0,3,73.8683,73.8683,73.8921,0.0,0.0238,0.0238
25,0,3,74.3978,74.3978,74.9375,0.0,0.5397,0.5397
22,0,3,72.5212,72.5212,75.0568,0.0,2.5356,2.5356
23,0,3,72.9199,72.9199,80.9644,0.0,8.0444,8.0444
27,0,3,78.3606,78.3606,81.0127,0.0,2.652,2.652
26,0,3,77.7666,77.7666,82.2676,0.0,4.501,4.501
28,0,3,79.8268,80.9644,82.5405,1.1375,1.5761,2.7137
29,0,3,86.5006,86.5006,89.3339,0.0,2.8333,2.8333
30,0,3,89.6285,89.6285,91.7004,0.0,2.0719,2.0719
31,0,3,91.3806,91.3806,93.4195,0.0,2.0389,2.0389
33,0,3,105.0167,105.0167,105.0308,0.0,0.0141,0.0141
32,0,3,104.8969,104.8969,105.103,0.0,0.2061,0.2061
35,0,3,119.7455,119.7455,120.0778,0.0,0.3323,0.3323
34,0,3,113.309,113.309,120.8958,0.0,7.5868,7.5868
36,0,3,122.5205,122.5205,125.2869,0.0,2.7664,2.7664
37,0,3,124.8217,124.8217,127.8723,0.0,3.0506,3.0506
38,0,3,131.1802,131.1802,133.4696,0.0,2.2893,2.2893
39,0,3,135.4491,135.4491,138.8286,0.0,3.3795,3.3795
41,0,3,139.4943,139.4943,142.6317,0.0,3.1374,3.1374
42,0,3,140.5973,140.5973,145.2342,0.0,4.6369,4.6369
43,0,3,146.3139,146.3139,148.2652,0.0,1.9513,1.9513
40,0,3,136.9262,136.9262,148.3814,0.0,11.4551,11.4551
44,0,3,147.8649,147.8649,151.4401,0.0,3.5752,3.5752
45,0,3,149.319,149.319,152.1984,0.0,2.8794,2.8794
48,0,3,155.2179,155.2179,155.8756,0.0,0.6577,0.6577
47,0,3,154.9303,154.9303,156.5858,0.0,1.6555,1.6555
49,0,3,155.8125,155.8756,157.7838,0.0631,1.9081,1.9712
51,0,3,156.5553,157.7838,158.6726,1.2284,0.8888,2.1173
46,0,3,151.0712,151.0712,159.9993,0.0,8.9281,8.9281
50,0,3,156.454,156.5858,162.0851,0.1318,5.4993,5.6311
53,0,3,165.756,165.756,166.3395,0.0,0.5834,0.5834
52,0,3,164.9161,164.9161,166.586,0.0,1.6699,1.6699
54,0,3,170.0866,170.0866,171.9089,0.0,1.8223,1.8223
55,0,3,176.1487,176.1487,178.2163,0.0,2.0675,2.0675
